AgencyName,NetBalance,Year
Perspective Media,8651036.745,12/31/2023 0:00
Pirana Advertising (Pvt) Ltd,197543.9264,9/21/2023 18:16
Play One,-166890,11/18/2021 0:00
Prestige Communications (Pvt.) Ltd.,-2.3989,7/22/2022 0:00
Prime Aluminium Industries (Pvt) Ltd,0.029,6/12/2009 12:27
Prime Time,1.75,12/31/2016 0:00
Print AD Communication,-54.2104,9/20/2022 19:28
Printer Port,-293740.2868,6/20/2014 0:00
Promoters Advertising,-0.1185,12/26/2023 0:00
Qasim & Ahmed Pvt Ltd,-830762.7498,3/6/2020 0:00
RAHNUMA,,
Rasul Floor Mills (Pvt) Ltd,0.3,8/30/2010 0:00
Real Time,0,1/23/2015 12:00
RED Communications,-290.9614,6/30/2020 0:00
Red Cross Iran,0.2773,10/30/2010 0:00
Red Ocean Communication & PR,51834,12/15/2023 11:40
Red Ocean Media,160191.0638,12/15/2023 11:38
Rehman Foundation,0,8/30/2011 0:00
Repcom Advertising,-0.5748,4/28/2011 0:00
Revolution Media Pvt Ltd.,21153433.95,12/31/2023 0:00
RG Blue Communication,3703138.696,12/31/2023 0:00
Roche Pakistan Limited,0,6/21/2012 0:00
Roshni Communication,498139.4449,10/31/2023 11:49
Royal Residencia Lahore,367140,8/31/2023 0:00
Ruby Advertising Services,-12455.0115,7/13/2011 16:42
S.V.Advertising,-0.5577,5/27/2013 0:00
SACOM Pvt Ltd.,2327337.539,8/3/2022 0:00
Sajid Enterprises,0.72,4/17/2013 0:00
San Media,-1217.242,1/31/2015 0:00
San Media Communication,-920,1/14/2012 0:00
Sarhad University of Science & Information Technology Peshwar,-0.0045,8/21/2015 11:42
School of Leadership Foundation,200000.008,3/14/2022 16:52
Shahid Afridi Foundation,0,9/7/2022 15:55
Shahoo Je Herbal Pharma,0.5,6/30/2018 0:00
Shazia Abbasi Consulting,-10.7292,6/30/2018 0:00
Shoot n Cutt Production,0,2/28/2014 0:00
Sindh Institute of Urology and Transplantation,0,6/19/2014 0:00
Siza Food Pvt Ltd,0.1984,6/30/2017 0:00
Smart Ways Communication Pvt. Ltd.,2677816,12/29/2023 16:00
Solution 1,8900625,10/24/2023 0:00
Sound & Vision Private Limited,-2711086.484,12/11/2023 17:42
Spectrum Communications (Pvt.) Ltd.,-4.6797,5/25/2021 0:00
Spider 360 Media (Pvt.) Ltd.,-0.2861,11/24/2022 16:27
Star Com,-0.4348,12/31/2010 0:00
Star Crest (Pvt.) Ltd.,16070464.82,12/31/2023 0:00
Super Media Communication Pvt. Ltd.,-0.1921,5/23/2016 0:00
Synchronize (Pvt.) Ltd.,-2448346.832,9/20/2013 10:10
Synchronize Media (Pvt.) Ltd.,-1151145.702,8/31/2020 13:23
Synergy Advertising,31200704.7,12/31/2023 0:00
T Media,-62335.4295,11/11/2020 0:00
Taj TV Ltd.,0,6/30/2018 0:00
Tapal Tea (Pvt) Ltd,0.6696,3/14/2013 0:00
Tetley Clover Pvt Limited,0.6529,6/30/2017 0:00
The Brand Ache Communication,80018.7332,1/5/2021 0:00
The Brand Partnership (Pvt.) Ltd.,4413370.228,8/8/2023 14:36
The Center Shopping Mall,-0.3008,11/20/2012 14:23
The Circle Agency Pvt Ltd.,-700935.1697,9/20/2023 0:00
The Circuit (Pvt.) Ltd.,1.998,7/2/2018 17:11
The Commercial Advertising,-58271.5671,6/13/2017 13:44
The Kidney Centre,0.3329,6/30/2017 0:00
The Marketing Karachi,-100000.0001,6/30/2020 0:00
The Trust Teleshop,-0.564,3/30/2013 15:24
