AgencyName,NetBalance,Year
Lowe & Rauf (Pvt.) Ltd.,-60639.9640,10/3/2015 12:00:00 AM
Lowe & Rauf (Pvt.) Ltd.,-60639.9640,10/3/2015 12:00:00 AM
LRBT,-0.3337,6/30/2017 12:00:00 AM
M & C Saatchi World Services Pakistan Pvt Ltd.,2910977.6769,9/30/2022 12:00:00 AM
M & C Saatchi World Services Pakistan Pvt Ltd.,2910977.6769,9/30/2022 12:00:00 AM
M & C Saatchi World Services Pakistan Pvt Ltd.,2910977.6769,9/30/2022 12:00:00 AM
M Communications (Pvt) Limited,384183.8913,1/19/2021 4:38:11 PM
M Communications (Pvt) Limited,384183.8913,1/19/2021 4:38:11 PM
Maan Advertisers,0.0000,11/29/2008 10:53:52 AM
Mahantee.com,-100.0007,10/6/2020 12:00:00 AM
Manhattan Communications (Pvt) Ltd.,2853545.6900,10/13/2022 11:35:21 AM
Manhattan Communications (Pvt) Ltd.,2853545.6900,10/13/2022 11:35:21 AM
Manhattan Communications (Pvt) Ltd.,2853545.6900,10/13/2022 11:35:21 AM
Manhattan International (Pvt.) Ltd.,7172600.5014,10/27/2022 12:00:00 AM
Manhattan Pakistan Limited,-0.1671,11/6/2008 12:00:00 AM
Manhill Advertising & Marketing (Pvt.) Ltd.,-1000780.8831,9/27/2022 11:20:21 AM
Manhill Advertising & Marketing (Pvt.) Ltd.,-1000780.8831,9/27/2022 11:20:21 AM
Manhill Advertising & Marketing (Pvt.) Ltd.,-1000780.8831,9/27/2022 11:20:21 AM
Marketing & Advertising (Pvt.) Ltd.,155628.5002,10/5/2021 12:00:00 AM
Marksman Advertising,0.0333,12/24/2008 12:00:00 AM
Marshmallow Advertising (Pvt.) Limited,416622.7903,10/27/2022 12:00:00 AM
Mass Advertising (Pvt) Ltd.,3.6536,6/30/2017 12:00:00 AM
Maxim Advertising (Pvt.) Ltd.,-0.5452,10/28/2021 12:00:00 AM
Maxim Advertising (Pvt.) Ltd.,-0.5452,10/28/2021 12:00:00 AM
Maxsell Associates,1154695.2631,9/6/2022 12:00:00 AM
Maxsell Communications,-844686.4936,10/5/2021 12:00:00 AM
MCM,22589.7092,3/26/2021 4:45:59 PM
MCM,22589.7092,3/26/2021 4:45:59 PM
MCOM,2266656.7055,10/31/2022 12:00:00 AM
MCOM,2266656.7055,10/31/2022 12:00:00 AM
Media 360 Pvt Ltd.,0.0510,12/31/2016 12:00:00 AM
Media Ad,1410.9786,6/30/2019 12:00:00 AM
Media Ad,1410.9786,6/30/2019 12:00:00 AM
Media Axis (Pvt) Ltd,-196734.9484,9/6/2022 12:00:00 AM
Media Dimensions,-63436.6700,1/19/2018 11:39:12 AM
Media Line,-14140.0000,5/17/2013 11:32:50 AM
Media Link Pakistan (Pvt.) Ltd.,-0.5000,5/23/2009 4:30:12 PM
Media Links Inc.,27000.0000,11/15/2021 12:00:00 AM
Media Network,3890776.1996,10/31/2022 12:00:00 AM
Media One Communication,27967.9310,2/14/2018 5:57:03 PM
Media Professionals,8536995.7279,9/27/2022 6:04:47 PM
Media Professionals,8536995.7279,9/27/2022 6:04:47 PM
Media Pulse (Pvt.) Ltd.,7516913.7461,10/31/2022 12:00:00 AM
Media Shop (Pvt.) Ltd.,0.1129,12/31/2016 12:00:00 AM
Media Vision Marketing (Pvt.) Ltd.,0.0000,3/31/2012 12:00:00 AM
Media Zone,-94500.0000,6/13/2015 12:00:00 AM
MEDZnMORE (Pvt.) Ltd,30515231.5109,6/30/2022 12:00:00 AM
Mesh Media (Pvt.) Ltd.,4103267.9667,9/23/2022 4:27:16 PM
Message Communications,-44614.5708,5/20/2021 12:00:00 AM
MG Advertiser,-994.3533,8/27/2012 11:56:38 AM
Midas (Pvt.) Ltd.,13544786.9313,3/22/2021 5:53:55 PM
Midas Communication,5012110.5139,9/9/2022 5:51:22 PM
Midas Communication,5012110.5139,9/9/2022 5:51:22 PM
Midas Communication,5012110.5139,9/9/2022 5:51:22 PM
Midas International Pvt Ltd,1920667.2143,9/9/2022 5:45:53 PM
Midas International Pvt Ltd,1920667.2143,9/9/2022 5:45:53 PM
Midas International Pvt Ltd,1920667.2143,9/9/2022 5:45:53 PM
Mind Communications,-1122840.3335,1/18/2020 4:40:39 PM
Mindshare,0.0000,3/28/2018 3:10:27 PM
Ministry Of Information Govt of Sindh,-0.1527,6/16/2011 12:00:00 AM
MINT Ideas House,80128.4142,6/30/2020 12:00:00 AM
Modem4,3.5731,8/1/2022 12:00:00 AM
Modem4,3.5731,8/1/2022 12:00:00 AM
MQM,-0.3343,12/31/2016 12:00:00 AM
Munawwar Associates,205319.9898,5/31/2022 12:00:00 AM
Mustaqbil Pakistan,-169113.3346,5/16/2013 6:46:40 PM
Naqsha Pvt Ltd.,-18183.0022,8/31/2020 12:00:00 AM
Natural Foods (Pvt) Limited,0.0000,8/16/2016 11:44:45 AM
NYX Advertising (Pvt.) Ltd.,-1.3189,12/31/2016 12:00:00 AM
O Experience Pvt Ltd.,635568.3405,3/4/2021 12:00:00 AM
O Experience Pvt Ltd.,635568.3405,3/4/2021 12:00:00 AM
O Experience Pvt Ltd.,635568.3405,3/4/2021 12:00:00 AM
OAK Media (Pvt) Ltd,4158492.6658,10/31/2022 12:00:00 AM
OAK Media (Pvt) Ltd,4158492.6658,10/31/2022 12:00:00 AM
OCLY (Pvt.) Ltd.,0.0732,10/12/2021 12:00:00 AM
Ogilvy & Mather (Pvt.) Limited,0.0000,11/18/2020 5:12:25 PM
Ogilvy & Mather Pakistan (Pvt.) Limited,-0.2379,9/12/2022 12:00:00 AM
Oktopus 360 Media (Pvt) Ltd. (Formarlly Kimco Advertising),152754112.8908,10/31/2022 12:00:00 AM
