AgencyName,NetBalance,Year
Tapal Tea (Pvt) Ltd,0.6696,3/14/2013 12:00:00 AM
Tetley Clover Pvt Limited,397708.6529,9/30/2011 12:00:00 AM
The Brand Ache Communication,157729.0000,2/28/2013 12:00:00 AM
The Brand Partnership (Pvt.) Ltd.,20421217.7318,6/20/2016 12:00:00 AM
The Brand Partnership (Pvt.) Ltd.,20421217.7318,6/20/2016 12:00:00 AM
The Center Shopping Mall,-0.3008,11/20/2012 2:23:00 PM
The Circle Agency Pvt Ltd.,5196449.9988,5/17/2016 11:14:25 AM
The Circuit (Pvt.) Ltd.,5392.9980,6/30/2015 12:00:00 AM
The Commercial Advertising,37601.4329,10/21/2010 12:00:00 AM
The Kidney Centre,55573.3329,8/24/2013 12:21:38 PM
The Trust Teleshop,-0.5640,3/30/2013 3:24:42 PM
Time & Space Media (Pvt.) Ltd.,30309868.5031,6/30/2016 4:00:00 PM
Time & Space Media (Pvt.) Ltd.,30309868.5031,6/30/2016 4:00:00 PM
Time & Space Media (Pvt.) Ltd.,30309868.5031,6/30/2016 4:00:00 PM
Titan Watches,78728.2140,9/30/2011 12:00:00 AM
TNI Communications,9105266.0549,4/14/2016 1:33:17 PM
TNI Communications,9105266.0549,4/14/2016 1:33:17 PM
TNI Communications,9105266.0549,4/14/2016 1:33:17 PM
Transworld Advertising (Pvt) Ltd,-0.8224,2/2/2015 12:00:00 AM
Transworld Advertising Lahore,-1265.0000,1/23/2009 12:00:00 AM
Trends Maker,1126.0000,5/28/2014 4:40:44 PM
TV Brand,0.0816,3/20/2013 12:07:33 PM
TV2 Productions,-0.9998,9/22/2015 5:25:56 PM
TWI Technology Engineering Pvt Ltd.,-48000.0000,8/4/2014 12:00:00 AM
Universal Nexus For Interfaith Trust Engagement,9193.3320,12/30/2015 4:00:32 PM
Usman Traders  Sonar Tyre,-19837.0860,8/29/2011 12:00:00 AM
VAMS,-0.1432,8/24/2009 10:06:59 AM
Velocity Marketing & Communication,53050.6494,2/20/2016 12:00:00 AM
Vision Unlimited,0.1986,1/20/2009 12:00:00 AM
W S Research Centre,-12750.0000,1/31/2012 12:00:00 AM
Wahedna Darcy (Pvt.) Ltd.,1882143.6403,4/30/2016 12:00:00 AM
World Call,2387916.6647,7/28/2009 12:20:06 PM
X Nine Communication (Pvt) Ltd,2395677.0253,6/25/2015 12:00:00 AM
X Nine Communication (Pvt) Ltd,2395677.0253,6/25/2015 12:00:00 AM
Zara International,-8.2220,7/2/2014 12:00:00 AM
